,user_id,name,time,rating,text,pics,resp,gmap_id
37198,110199730286805608874,Michelle Banks,1518322858721,5.0,It's a beautiful place to read books and have food or coffee and tea. The best cookies,,,0x80c8bf81f68a634f:0xe605b4c3043783c9
39373,106455408371866150988,Steven DeRyck [Staff],1536441659173,4.0,"As previous reviews have stated, two small pieces of bread between a huge stack of meat pretty much sums up their sandwiches.  And as a pure carnivore I have no issues with that.  The price was reasonable as well.",,,0x80c8c415f0a42c77:0x55c554fdc4ad8b9c
43382,110442613019980396910,Stevey Markovich,1595534558800,5.0,Absolutely love this office! Afton is truly amazing and always makes me feel welcomed and special!,,"{'time': 1595600023968, 'text': 'Thank you! Have a great day!'}",0x80c8ce0f7732ee7b:0xea13348742f64327
9672,102404509430936241440,William Campbell,1544392591483,3.0,The food is as good as it usually is,,,0x80c8dc9da25847c7:0x27b862b824ac757c
92564,111658148729564710703,Beverly Thorman,1523152238321,5.0,We came  in without an appointment on a Saturday afternoon and they cut my hair right away. My stylist was Ninette and she was amazing! She was fun to talk with and she gave me the exact style I wanted. The other stylists were also fun and friendly.,,"{'time': 1523207982441, 'text': 'Thank you for coming in! We hope to see you again next time!'}",0x80c8c03de37488fd:0xdc3302fd9f8f44a
82611,113034916181996736826,nancy gomez,1562998388928,4.0,Cool place to shop and listen to music when they have live bands,,,0x80c8c2cc3a838c01:0xc2896c1bd132e2d3
30164,108325434249483838810,Kevin Cavenagh,1560820009048,5.0,"Service with Old fashioned. ""Honesty"" rare these days but not here. We dealt with Rick, and glad we did.They are pros;thanks",,,0x80c8d0e9cac85ff3:0xc202727a7bfc02d4
77422,104419799857421270154,Anthony V,1566758244783,5.0,Good fresh food... always clean and employees are always nice with smiles on their faces,,,0x80c8be54c348aa77:0xa367ab6e87cde35f
6865,111807681069346703292,nicole webb,1617296337174,5.0,"I'm almost positive this was the best food experience  I've ever had! The food was unique,fresh,full of amazing flavors. Margaritas on point. The atmosphere was perfect. Our server was so polite and represented the chef so well by understanding and explaining the dishes.","[{'url': ['https://lh5.googleusercontent.com/p/AF1QipMHkf7NQ8U04sUgp8YpZZtJ2Roy2-GfFivUM3Ld=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipNG6RYZ-AozAHfGhhvV5N98dDe5OMXLSm0Wt7Zt=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipOFt_7J-ZVc67H6rRP1A2B3fy5PlEAJ6d6DfrNK=w150-h150-k-no-p']}]","{'time': 1617299783713, 'text': ""Thanks Nicole! We're so glad you have a great experience. Hope to see you back at the Test Kitchen soon. Have a great day. Jolene""}",0x80c8c36d11539e27:0xc136ddffaf461845
85993,115290265418915475156,Lisa Walker,1513569306336,3.0,Hofbrauhaus was ok.Nothing compared to Bavarian inn restaurant in Michigan.lol The restaurant how ever was very clean ' friendly staff' good entertainment for a evening.The food to me was just ok.Have had much better.,,,0x80c8c452c9fb4771:0x2d8c22fabb85c27c
96867,101626387078718193250,Immortalized4evr,1481927830527,5.0,Great fast food. The service is fairly quick  and there are still servers on skates!,,,0x80c8ea9701e25f23:0x69f5b2c37fc61f51
217,112975815298581965918,Cody Brown,1569261659669,5.0,"Awesome experience, I have had a few storage units but nothing like this, it’s very state of the art and in Las Vegas heat you need a ac cooled storage unit like they offer here. Angie was so helpful and nice, I had my child with me and Angie made it so easy and fast it was a true joy.",,,0x80c8cd12a5efca35:0xb4f6dcd2b4a90657
5147,114986888477053000826,TheJennyvelasco,1505093878220,5.0,Was there @ 6pm and the female blond manager was awesome helping with my gift card order. Great service!,,,0x80c8ce478777c50b:0xb6dab3e2c1e18842
88697,110842335307916095695,carlella rogers,1604980599529,5.0,It was much more than we expected. The vows that the official recited were very personal. Thanks for making this memorable.,,"{'time': 1605056031550, 'text': 'Thank you so much!'}",0x80c8c3420f24ea4d:0x9955639d4bfb4fed
97798,109625976570440351699,Andrew Palmer,1613532753622,5.0,Great chicken place with lots of different variety in sandwiches amongst other things. Prices are reasonable.,[{'url': ['https://lh5.googleusercontent.com/p/AF1QipMAl_drPSz3vOgtGsf1wEAqnUZhiWaejUkVGJit=w150-h150-k-no-p']}],"{'time': 1615334333849, 'text': 'Glad you enjoyed it, Andrew! Looking forward to your next trip back.'}",0x80c8c57b8d3046c3:0x22cd1abb3fdfe752
43779,107968149585562432514,Antoinette Moss,1538634517483,5.0,Amazing,,,0x80c8c44fb8b2e9bb:0xce2d04961ab67ea0
80020,106947672948849827722,jennifer long,1532857168877,5.0,Too many nights Little C's saved me with that $5 pizza.. how could I not thank you! (Blows kisses),,,0x80c8dceee169e85d:0xd14558ce4b9b3479
62130,117281008448425594698,Cecile Scott,1525701787859,4.0,Excellent service,,,0x80c8c7013f31c59b:0xe6a817a8e87f469c
55427,100140432789355828493,Jimmy JayEye,1522374234015,5.0,great service and great food,,,0x80c8c056d0cb1ec3:0xef42059bb91239d
38637,112801942632954011539,Kenizy Official,1603698580726,5.0,once josh and his crew fix your car you will be amazed. period. 💯 legit.,,,0x80c8e9455aeed2d3:0xcbd2de7e89c879fe
16433,106201387510828999752,Bobbie Broberg,1579754036021,5.0,The soups are delicious the desserts are fantastic and the help is very efficient and another word and what efficient and courteous courteous. This is a to go place for us,,"{'time': 1577729363918, 'text': 'Thanks for the awesome review. We sincerely appreciate it.'}",0x80c8c022b77665e3:0xa79cb8b785dbcc80
79513,107878519904749089947,Gilles Uzan,1619552027145,5.0,"The food is always good, and the restaurant is always clean, service is always prompt",,,0x80c8eb5c4db0e501:0x8058aad1fc780f6a
33994,102527847790314651112,Susan Tomlinson,1560552993609,5.0,Great selection great prices.  Has a teacher discount.,,"{'time': 1560806791541, 'text': 'Thank you for taking the time to leave us a review!  We are always glad we can give a little bit back to teachers!'}",0x80c8c51f0cfc862f:0x650feb80fd6831f5
22461,111562844893187385652,linda s,1609641124563,1.0,"Lost a customer.11/2 hours to deliver and food was cold as ice . The pizza wasn't  cooked thoroughly. Like eating raw dough. No veggies with orders as before ,no condiments!!!!  Prices up but quality down.Store called and nothing!!! What happened????",,,0x80c8eae51ece52d7:0xbfa4cb6d4c66a6e7
98232,104492525539341563657,Ana Velasquez,1570593643517,4.0,Fun!!! Fun!!! Love Laughlin it’s just perfect for families and teens love it too. Our kids have so much fun there when we go it’s basically there vacation time.,[{'url': ['https://lh5.googleusercontent.com/p/AF1QipNyYFgEJpltNMvlGke-PyDnTWLqHEFjAC5vme6p=w150-h150-k-no-p']}],,0x80ce42fe267b7c5f:0xc9760accf78f9834
45978,116626262618214858875,Ambrosia C,1547870366294,3.0,"The area itself is very nice. However, the McDonald's messes up my order every single time. Why do I go back? Because my ride usually goes to that area.",,,0x809938c4d384088d:0xa667a4dde7f117de
